name,brand,lat,lng,address_text,township,city,country_code
Kyaw Thadar Filling Station,Unknown,18.8386,95.2157,"Pyay, Myanmar",Pyay,Pyay,MM
Phyu Sin Filling Station,Unknown,18.8255,95.2281,"Pyay, Myanmar",Pyay,Pyay,MM
Yoma Filling Station,Unknown,18.8102,95.2415,"Pyay, Myanmar",Pyay,Pyay,MM
Hinthar Gone Filling Station,Unknown,18.7823,95.2495,"Pyay, Myanmar",Pyay,Pyay,MM
Minlwin Filling Station,Unknown,18.7775,95.2449,"Pyay, Myanmar",Pyay,Pyay,MM
Moe Kaung Kin Filling Station,Unknown,18.7911,95.2567,"Pyay, Myanmar",Pyay,Pyay,MM
MPE Filling Station,MPE,17.17,96.43,"Yangon-Mandalay Expressway, near mile marker 60",Waw Township,Yangon-Mandalay Highway,MM
Shwe Taung Filling Station,Shwe Taung,18.55,96.4,"Yangon-Mandalay Expressway, near Bago",Bago,Yangon-Mandalay Highway,MM
MPT Filling Station,MPT,19.74,96.32,"Yangon-Mandalay Expressway, near Pyu",Pyu,Yangon-Mandalay Highway,MM
PTT Filling Station,PTT,20.82,96.18,"Yangon-Mandalay Expressway, near Zeyawaddy",Zeyawaddy,Yangon-Mandalay Highway,MM
MPE Filling Station (Naypyidaw),MPE,21.79,96.12,"Yangon-Mandalay Expressway, Near Naypyidaw Entrance",Lewe,Yangon-Mandalay Highway,MM
Filling Station (Naypyidaw),Unknown,21.83,96.09,"Yangon-Mandalay Expressway, near Naypyidaw",Lewe,Yangon-Mandalay Highway,MM
Total Filling Station (Naypyidaw),Total,21.86,96.06,"Yangon-Mandalay Expressway, near Naypyidaw",Lewe,Yangon-Mandalay Highway,MM
Shwe Taung Filling Station,Shwe Taung,20.98,96.16,Yangon-Mandalay Expressway,Tatkon,Yangon-Mandalay Highway,MM
MPE Filling Station (Kyaukse),MPE,21.42,96.02,"Yangon-Mandalay Expressway, near Kyaukse",Kyaukse,Yangon-Mandalay Highway,MM
PTT Filling Station (Myothar),PTT,21.64,95.96,"Yangon-Mandalay Expressway, near Myothar",Myothar,Yangon-Mandalay Highway,MM
Shwe Taung Filling Station (Wundwin),Shwe Taung,21.82,95.86,"Yangon-Mandalay Expressway, near Wundwin",Wundwin,Yangon-Mandalay Highway,MM
MPE Filling Station (Meiktila),MPE,20.87,95.87,"Yangon-Mandalay Expressway, near Meiktila",Meiktila,Yangon-Mandalay Highway,MM
PTT Filling Station (Thazi),PTT,21.29,95.9,"Yangon-Mandalay Expressway, near Thazi",Thazi,Yangon-Mandalay Highway,MM
MPE Filling Station,MPE,16.79,96.34,"Near Thanlyin Bridge, Yangon-Thanlyin Road",Thanlyin,Yangon-Mawlamyine Highway,MM
Shwe Taung Filling Station,Shwe Taung,16.85,96.42,"Yangon-Thanlyin Road, near Thilawa SEZ",Kyauktan,Yangon-Mawlamyine Highway,MM
PTT Filling Station,PTT,16.65,96.75,"NH1, near Thaketa Township Boundary",Thaketa,Yangon-Mawlamyine Highway,MM
MPE Filling Station,MPE,16.7,96.9,"NH1, near Bago River Bridge",Hlegu,Yangon-Mawlamyine Highway,MM
Shwe Taung Filling Station,Shwe Taung,16.95,97.05,"NH1, North of Hlegu",Hlegu,Yangon-Mawlamyine Highway,MM
Total Filling Station,Total,17.33,97.22,"NH1, near Payagyi",Payagyi,Yangon-Mawlamyine Highway,MM
MPE Filling Station,MPE,17.55,97.35,"NH1, between Payagyi and Nyaungkhashe",Nyaungkhashe,Yangon-Mawlamyine Highway,MM
Shwe Taung Filling Station,Shwe Taung,17.75,97.5,"NH1, near Nyaungkhashe",Nyaungkhashe,Yangon-Mawlamyine Highway,MM
PTT Filling Station,PTT,18.17,97.32,"NH1, Thaton Bypass",Thaton,Yangon-Mawlamyine Highway,MM
MPE Filling Station,MPE,18.3,97.6,"NH1, east of Thaton",Thaton,Yangon-Mawlamyine Highway,MM
Shwe Taung Filling Station,Shwe Taung,16.46,97.62,Near Kyaikto Pagoda,Kyaikto,Yangon-Mawlamyine Highway,MM
PTT Filling Station,PTT,16.49,97.72,"Kyaikto, near highway",Kyaikto,Yangon-Mawlamyine Highway,MM
MPE Filling Station,MPE,16.55,97.88,"NH1, near Theinzayat",Kyaikto,Yangon-Mawlamyine Highway,MM
Shwe Taung Filling Station,Shwe Taung,16.33,97.96,Near Mottama,Mottama,Yangon-Mawlamyine Highway,MM
PTT Filling Station,PTT,16.48,97.68,"Kyaikto, north of the main town",Kyaikto,Yangon-Mawlamyine Highway,MM
MPE Filling Station,MPE,16.905,95.96,"NH8, near Twante Bridge",Twante,Yangon-Pathein Highway,MM
Shwe Byain Phyu Filling Station,Shwe Byain Phyu,17.092,95.724,"NH8, near Kyee Myine Daing village",Kyee Myine Daing,Yangon-Pathein Highway,MM
PTT Filling Station,PTT,17.05,95.55,"NH8, near Pantanaw",Pantanaw,Yangon-Pathein Highway,MM
MPE Filling Station,MPE,17.15,95.35,"NH8, near Wakema",Wakema,Yangon-Pathein Highway,MM
Shwe Taung Filling Station,Shwe Taung,17.02,95.08,"NH8, near Myaungmya",Myaungmya,Yangon-Pathein Highway,MM
Unknown Filling Station,Unknown,16.85,94.78,"NH8, near Einme",Einme,Yangon-Pathein Highway,MM
Shwe Than Lwin Filling Station,Shwe Than Lwin,16.78,94.75,"NH8, near Einme",Einme,Yangon-Pathein Highway,MM
PTT Filling Station,PTT,16.77,94.73,"NH8, near Einme",Einme,Yangon-Pathein Highway,MM
MPE Filling Station,MPE,17,96.15,"Yangon-Pyay Road, near Hlegu",Hlegu,Yangon-Pyay Highway,MM
Shwe Taung Filling Station,Shwe Taung,17.5,95.8,"Yangon-Pyay Road, near Oakkan",Oakkan,Yangon-Pyay Highway,MM
MPT Filling Station,MPT,17.8,95.6,"Yangon-Pyay Road, near Tharrawaddy",Tharrawaddy,Yangon-Pyay Highway,MM
Filling Station,Unknown,18,95.5,"Yangon-Pyay Road, Letpadan",Letpadan,Yangon-Pyay Highway,MM
PTT Filling Station,PTT,18.75,95.25,"Yangon-Pyay Road, north of Gyobingauk",Gyobingauk,Yangon-Pyay Highway,MM
MPE Filling Station,MPE,18.85,95.22,"Yangon-Pyay Road, near Gyobingauk",Gyobingauk,Yangon-Pyay Highway,MM
Filling Station,Unknown,18.95,95.2,"Yangon-Pyay Road, near Gyobingauk",Gyobingauk,Yangon-Pyay Highway,MM
Shwe Taung Filling Station,Shwe Taung,18.9,95.21,"Yangon-Pyay Road, near Gyobingauk",Gyobingauk,Yangon-Pyay Highway,MM
Filling Station,Unknown,19.05,95.15,Yangon-Pyay Road,Pyay,Yangon-Pyay Highway,MM
Total Filling Station,Total,18.816,95.228,Yangon-Pyay Road,Gyobingauk,Yangon-Pyay Highway,MM
PTT Filling Station,PTT,18.836,95.224,Yangon-Pyay Road,Gyobingauk,Yangon-Pyay Highway,MM
MPE Filling Station,MPE,17.82,95.25,"Pathein-Hinthada Road, near Kyaukchaung Village",Kyonpyaw,Pathein-Hinthada Highway,MM
Shwe Taung Filling Station,Shwe Taung,17.65,95.4,"Pathein-Hinthada Road, near Thaunggyi Village",Kyonpyaw,Pathein-Hinthada Highway,MM
PTT Filling Station,PTT,17.4,95.55,"Pathein-Hinthada Road, near Ywathitkyi Village",Ingapu,Pathein-Hinthada Highway,MM
MPE Filling Station,MPE,17.15,95.7,"Pathein-Hinthada Road, near Lemyethna Town",Lemyethna,Pathein-Hinthada Highway,MM
Shwe Taung Filling Station,Shwe Taung,16.9,95.85,"Pathein-Hinthada Road, near Zalon Village",Zalon,Pathein-Hinthada Highway,MM
Total Filling Station,Total,16.75,95.95,"Pathein-Hinthada Road, near Hinthada",Hinthada,Pathein-Hinthada Highway,MM
MPE Filling Station,MPE,17.95,95.15,"Pathein-Hinthada Road, near Wakema",Wakema,Pathein-Hinthada Highway,MM
